Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
6.59904772	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59912478	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.59919110	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59927182	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59937220	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.59947408	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59957350	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.59963982	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.59973560	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59983598	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.59993756	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60003698	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.60010332	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60018036	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.60024668	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60032740	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60042776	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.60052960	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60062902	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.60069534	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.60079110	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60089146	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.60099306	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60109248	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.60115880	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60123584	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.60130218	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60138290	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60148326	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.60158512	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60168454	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.60175086	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.60184662	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60194700	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.60204860	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60214802	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.60221434	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
