Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
3.84204682	Operation	write	AccessPort	CSW	0xA3	OK	0x23000012	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Increment single, Size=Word (32 bits)
3.84209672	Operation	read	AccessPort	DRW	0x9F	WAIT		
3.84211108	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.84216086	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.84221056	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.84226022	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF89A4	
3.84231004	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
3.84267504	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.84284146	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.84289150	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF89A4	
3.84295212	Operation	write	AccessPort	CSW	0xA3	OK	0x23000012	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Increment single, Size=Word (32 bits)
3.84301692	Operation	write	AccessPort	DRW	0xBB	OK	0x3104600A	
3.84307748	Operation	write	AccessPort	DRW	0xBB	OK	0x4A0A600A	
3.84313798	Operation	write	AccessPort	DRW	0xBB	OK	0x4A0A7013	
3.84318772	Operation	write	AccessPort	DRW	0xBB	OK	0x4B0A7013	
3.84324820	Operation	write	AccessPort	DRW	0xBB	OK	0xB10B681B	
3.84329726	Operation	write	AccessPort	DRW	0xBB	OK	0x701A2201	
3.84336962	Operation	write	AccessPort	DRW	0xBB	OK	0xBF00BD10	
3.84341946	Operation	write	AccessPort	DRW	0xBB	OK	0x40048034	
3.84346920	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E60	
3.84351894	Operation	write	AccessPort	DRW	0xBB	OK	0xE000E184	
3.84356868	Operation	write	AccessPort	DRW	0xBB	OK	0x4006C000	
3.84361844	Operation	write	AccessPort	DRW	0xBB	OK	0x4004C008	
3.84366818	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8ECC	
3.84371792	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E61	
3.84376766	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E5C	
3.84381740	Operation	write	AccessPort	DRW	0xBB	OK	0x4604B510	
3.84387642	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
3.84393052	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.84398474	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF89E4	
3.84403456	Operation	write	AccessPort	DRW	0xBB	OK	0x78134A09	
3.84408436	Operation	write	AccessPort	DRW	0xBB	OK	0x0FFFF013	
3.84413412	Operation	write	AccessPort	DRW	0xBB	OK	0x4620D1FB	
3.84418386	Operation	write	AccessPort	DRW	0xBB	OK	0xF7FE2101	
3.84423360	Operation	write	AccessPort	DRW	0xBB	OK	0x4620F95D	
3.84428332	Operation	write	AccessPort	DRW	0xBB	OK	0xF7FE2100	
3.84433306	Operation	write	AccessPort	DRW	0xBB	OK	0x4B04F935	
3.84438280	Operation	write	AccessPort	DRW	0xBB	OK	0x2034F853	
3.84443254	Operation	write	AccessPort	DRW	0xBB	OK	0x601A4B03	
3.84448228	Operation	write	AccessPort	DRW	0xBB	OK	0xBF00BD10	
